Age,Gender,Weight (kg),Height (m),BMI,Low_BPM,Avg_BPM,High_BPM,Session_Duration (hours),Calories_Burned,Daily_Calorie_Intake (kcal),Calorie_Balance (kcal),Protein_Intake (g/day),Workout_Type,Workout_Frequency (days/week),Rest_Days_Per_Week,Fitness_Goal,Preferred_Workout_Time,Fat_Percentage,Water_Intake (liters),Experience_Level,Membership_Duration (months),Work_Type,Income_Level,Diet_Type,Sleep_Hours_Per_Day,Smoking,Alcohol_Consumption,Medical_Condition
56,Male,88.3,1.71,30.2,100,157,178,1.69,1313.0,2241.0,928.0,87.1,Yoga,4,2,Weight Loss,Morning,12.6,3.5,3,58,Sedentary,Middle,Vegan,5.9,No,None,Hypertension
46,Female,74.9,1.53,32.0,100,151,185,1.3,883.0,2469.0,1586.0,109.0,HIIT,4,3,Endurance,Evening,33.9,2.1,2,8,Mixed,Middle,Vegetarian,6.8,Yes,Occasional,None
32,Female,68.1,1.66,24.71,99,122,151,1.11,677.0,1967.0,1290.0,58.3,Cardio,4,4,General Fitness,Evening,33.4,2.3,2,15,Mixed,High,Vegan,6.3,No,Occasional,None
25,Male,53.2,1.7,18.41,100,164,189,0.59,532.0,1539.0,1007.0,92.0,Strength,3,4,Endurance,Morning,28.8,2.1,1,7,Active,Low,High-Protein,5.4,No,Occasional,None
38,Male,46.1,1.79,14.39,100,158,180,0.64,556.0,1453.0,897.0,70.9,Strength,3,5,Endurance,Afternoon,29.2,2.8,1,2,Sedentary,Low,Vegetarian,6.9,No,Occasional,None
56,Female,58.0,1.68,20.55,100,156,177,1.59,1116.0,1849.0,733.0,130.9,HIIT,5,3,Muscle Gain,Evening,15.5,2.7,3,48,Sedentary,High,High-Protein,6.9,Yes,Occasional,None
36,Male,70.3,1.72,23.76,100,169,202,1.49,1385.0,2185.0,800.0,112.4,Cardio,3,5,Endurance,Morning,21.3,2.3,2,13,Sedentary,Middle,High-Protein,8.5,No,Occasional,Diabetes
40,Female,69.7,1.51,30.57,100,141,166,1.27,895.0,1855.0,960.0,162.5,Cardio,3,3,Weight Loss,Evening,30.6,1.9,2,17,Mixed,High,High-Protein,7.6,No,Occasional,High Cholesterol
28,Male,121.7,1.94,32.34,100,127,152,1.03,719.0,3015.0,2296.0,169.1,Strength,4,4,Weight Loss,Night,28.9,2.6,2,35,Active,Low,Balanced,6.3,Yes,None,High Cholesterol
28,Male,101.8,1.84,30.07,100,136,154,1.08,808.0,2984.0,2176.0,148.7,Cardio,3,5,Endurance,Morning,29.7,2.7,1,6,Mixed,Middle,Vegetarian,8.9,No,Occasional,Obesity
41,Male,120.8,1.67,43.31,100,146,168,0.82,593.0,3308.0,2715.0,210.6,HIIT,2,5,Weight Loss,Morning,20.5,3.0,1,9,Sedentary,High,Vegetarian,8.2,No,Occasional,Diabetes
53,Male,51.7,1.7,17.89,100,152,169,1.15,865.0,1369.0,504.0,104.9,HIIT,3,4,Weight Loss,Afternoon,23.6,3.5,2,16,Mixed,Middle,Balanced,7.6,Yes,Regular,Diabetes
57,Male,112.5,1.61,43.4,100,165,181,1.24,1013.0,2640.0,1627.0,266.2,Cardio,3,3,Weight Loss,Evening,22.1,2.7,2,24,Mixed,Low,High-Protein,6.8,No,Occasional,None
41,Male,94.5,2.0,23.62,100,136,162,1.18,794.0,2852.0,2058.0,134.0,HIIT,3,4,General Fitness,Afternoon,27.6,3.7,1,4,Sedentary,High,Balanced,6.0,No,None,Hypertension
20,Male,117.7,1.81,35.93,100,161,181,1.35,1195.0,3063.0,1868.0,281.4,Yoga,3,3,Weight Loss,Morning,26.4,3.3,2,28,Sedentary,High,High-Protein,6.6,No,Regular,Hypertension
39,Female,42.5,1.75,13.88,100,131,147,1.13,740.0,1571.0,831.0,84.6,Strength,2,5,Muscle Gain,Evening,26.2,2.1,1,1,Sedentary,Middle,Vegan,8.1,No,Regular,None
19,Female,64.0,1.53,27.34,100,167,182,1.33,1111.0,1640.0,529.0,95.8,HIIT,3,4,Weight Loss,Night,29.8,2.3,2,18,Sedentary,Low,Balanced,8.9,Yes,Occasional,Diabetes
