Age,Gender,Weight (kg),Height (m),BMI,Low_BPM,Avg_BPM,High_BPM,Session_Duration (hours),Calories_Burned,Daily_Calorie_Intake (kcal),Calorie_Balance (kcal),Protein_Intake (g/day),Workout_Type,Workout_Frequency (days/week),Rest_Days_Per_Week,Fitness_Goal,Preferred_Workout_Time,Fat_Percentage,Water_Intake (liters),Experience_Level,Membership_Duration (months),Work_Type,Income_Level,Diet_Type,Sleep_Hours_Per_Day,Smoking,Alcohol_Consumption,Medical_Condition
56,1,88.3,1.71,30.2,100,157,178,1.69,1313.0,2241.0,928.0,87.1,3,4,2,3,2,12.6,3.5,3,58,2,2,2,5.9,0,2,3
46,0,74.9,1.53,32.0,100,151,185,1.3,883.0,2469.0,1586.0,109.0,1,4,3,0,1,33.9,2.1,2,8,1,2,3,6.8,1,0,5
32,0,68.1,1.66,24.71,99,122,151,1.11,677.0,1967.0,1290.0,58.3,0,4,4,1,1,33.4,2.3,2,15,1,0,2,6.3,0,0,5
25,1,53.2,1.7,18.41,100,164,189,0.59,532.0,1539.0,1007.0,92.0,2,3,4,0,2,28.8,2.1,1,7,0,1,1,5.4,0,0,5
38,1,46.1,1.79,14.39,100,158,180,0.64,556.0,1453.0,897.0,70.9,2,3,5,0,0,29.2,2.8,1,2,2,1,3,6.9,0,0,5
56,0,58.0,1.68,20.55,100,156,177,1.59,1116.0,1849.0,733.0,130.9,1,5,3,2,1,15.5,2.7,3,48,2,0,1,6.9,1,0,5
36,1,70.3,1.72,23.76,100,169,202,1.49,1385.0,2185.0,800.0,112.4,0,3,5,0,2,21.3,2.3,2,13,2,2,1,8.5,0,0,1
40,0,69.7,1.51,30.57,100,141,166,1.27,895.0,1855.0,960.0,162.5,0,3,3,3,1,30.6,1.9,2,17,1,0,1,7.6,0,0,2
28,1,121.7,1.94,32.34,100,127,152,1.03,719.0,3015.0,2296.0,169.1,2,4,4,3,3,28.9,2.6,2,35,0,1,0,6.3,1,2,2
28,1,101.8,1.84,30.07,100,136,154,1.08,808.0,2984.0,2176.0,148.7,0,3,5,0,2,29.7,2.7,1,6,1,2,3,8.9,0,0,4
